,challenge_ID,programming_language,challenge_series_ID,total_submissions,publish_date,author_ID,author_gender,author_org_ID,category_id
0,CI23478,2,SI2445,37.0,06-05-2006,AI563576,M,AOI100001,
1,CI23479,2,SI2435,48.0,17-10-2002,AI563577,M,AOI100002,32.0
2,CI23480,1,SI2435,15.0,16-10-2002,AI563578,M,AOI100003,
3,CI23481,1,SI2710,236.0,19-09-2003,AI563579,M,AOI100004,70.0
4,CI23482,2,SI2440,137.0,21-03-2002,AI563580,M,AOI100005,
5,CI23483,2,SI2445,1434.0,06-05-2006,,,,70.0
6,CI23484,1,SI2440,509.0,22-03-2006,AI563582,F,AOI100007,32.0
7,CI23485,1,SI2435,287.0,17-10-2002,AI563583,F,AOI100008,23.0
8,CI23486,2,SI2440,19.0,20-03-2002,AI563584,M,AOI100009,
10,CI23488,2,SI2440,16.0,26-03-2004,AI563586,,AOI100011,
11,CI23489,1,SI2439,44.0,25-10-2005,AI563587,F,AOI100012,
12,CI23490,2,SI2445,33.0,06-05-2006,AI563588,F,AOI100013,
13,CI23491,2,SI2445,28.0,06-05-2006,AI563589,M,AOI100014,
14,CI23492,2,SI2440,68.0,23-03-2004,AI563590,M,AOI100015,69.0
15,CI23493,1,SI2435,326.0,15-10-2002,AI563591,M,AOI100016,48.0
16,CI23494,1,SI2439,173.0,25-10-2005,AI563592,M,AOI100017,180.0
17,CI23495,1,SI2439,19.0,25-10-2005,AI563593,M,AOI100018,97.0
18,CI23496,2,SI2438,84.0,25-05-2005,AI563594,M,AOI100019,
19,CI23497,2,SI2442,195.0,17-07-2006,,,,70.0
20,CI23498,1,SI2435,77.0,15-10-2002,AI563595,M,AOI100002,
21,CI23499,2,SI2437,35.0,14-10-2006,AI563596,M,AOI100011,23.0
22,CI23500,1,SI2440,112.0,25-03-2003,AI563597,M,AOI100020,70.0
23,CI23501,1,SI2435,88.0,17-10-2002,AI563598,M,AOI100021,23.0
24,CI23502,1,SI2435,47.0,16-10-2002,AI563599,M,,
25,CI23503,1,SI2440,992.0,24-03-2006,AI563596,M,AOI100011,27.0
26,CI23504,1,SI2441,1154.0,13-03-2003,AI563600,M,AOI100022,36.0
27,CI23505,1,SI2435,83.0,16-10-2002,AI563601,M,AOI100023,
28,CI23506,1,SI2435,338.0,16-10-2002,AI563602,F,AOI100024,47.0
29,CI23507,1,SI2435,37.0,14-10-2002,AI563603,M,AOI100025,39.0
30,CI23508,2,SI2440,31.0,19-03-2002,AI563604,M,AOI100011,70.0
31,CI23509,1,SI2435,81.0,15-10-2002,AI563605,F,AOI100026,
32,CI23510,1,SI2441,1418.0,08-07-2004,AI563606,F,AOI100027,36.0
33,CI23511,1,SI2436,573.0,11-10-2004,AI563607,M,AOI100028,137.0
34,CI23512,2,SI2445,290.0,06-05-2006,AI563608,M,AOI100029,69.0
35,CI23513,1,SI2435,89.0,15-10-2002,AI563576,M,AOI100001,48.0
36,CI23514,2,SI2440,829.0,27-03-2003,AI563609,M,AOI100030,23.0
37,CI23515,1,SI2435,44.0,15-10-2002,AI563576,M,AOI100001,
38,CI23516,1,SI2435,104.0,15-10-2002,AI563610,M,AOI100031,
39,CI23517,2,SI2443,4419.0,17-11-2004,AI563611,M,AOI100032,49.0
40,CI23518,1,SI2435,103.0,16-10-2002,AI563612,M,AOI100033,39.0
41,CI23519,1,SI2435,193.0,15-10-2002,AI563613,M,AOI100001,52.0
42,CI23520,2,SI2445,24.0,06-05-2006,,,,
43,CI23521,1,SI2435,153.0,15-10-2002,AI563614,M,AOI100034,48.0
44,CI23522,1,SI2440,72.0,22-03-2004,AI563615,F,AOI100035,53.0
45,CI23523,2,SI2446,91.0,22-09-2000,AI563616,F,AOI100001,
46,CI23524,2,SI2446,213.0,21-03-2003,AI563617,M,,70.0
47,CI23525,2,SI2446,169.0,12-02-2003,AI563618,M,AOI100016,
48,CI23526,1,SI2446,252.0,15-11-2002,AI563619,M,AOI100036,79.0
49,CI23527,1,SI2446,164.0,13-02-2003,AI563620,M,AOI100037,70.0
50,CI23528,2,SI2446,82.0,12-09-2005,AI563621,M,AOI100038,
51,CI23529,1,SI2446,912.0,31-01-2007,AI563622,M,AOI100039,70.0
52,CI23530,2,SI2446,110.0,21-02-2007,AI563623,M,AOI100040,
53,CI23531,1,SI2446,341.0,21-08-2006,AI563624,M,AOI100041,70.0
54,CI23532,1,SI2446,489.0,18-10-2006,AI563625,M,AOI100011,70.0
55,CI23533,1,SI2446,1169.0,20-06-2006,AI563626,M,AOI100042,70.0
